movie_id,title,overview,genres,keywords,cast,crew
755898,War of the Worlds,"['Will', 'Radford', 'is', 'a', 'top', 'analyst', 'for', 'Homeland', 'Security', 'who', 'tracks', 'potential', 'threats', 'through', 'a', 'mass', 'surveillance', 'program,', 'until', 'one', 'day', 'an', 'attack', 'by', 'an', 'unknown', 'entity', 'leads', 'him', 'to', 'question', 'whether', 'the', 'government', 'is', 'hiding', 'something', 'from', 'him...', 'and', 'from', 'the', 'rest', 'of', 'the', 'world.']","['Science Fiction', 'Thriller']","['government', 'attack', 'privacy', 'surveillance', 'cybersecurity', 'district', 'online privacy', 'screenlife', 'war', 'absurd']","['Ice Cube', 'Eva Longoria', 'Clark Gregg']",['Rich Lee']
911430,F1,"['Racing', 'legend', 'Sonny', 'Hayes', 'is', 'coaxed', 'out', 'of', 'retirement', 'to', 'lead', 'a', 'struggling', 'Formula', '1', 'team—and', 'mentor', 'a', 'young', 'hotshot', 'driver—while', 'chasing', 'one', 'more', 'chance', 'at', 'glory.']","['Action', 'Drama']","['sport competition', 'beforecreditsstinger', 'rookie', 'come back', 'formula one (f1)', 'motorsport', 'car racing', 'audacious', 'forceful']","['Brad Pitt', 'Damson Idris', 'Javier Bardem']",['Joseph Kosinski']
1061474,Superman,"['Superman,', 'a', 'journalist', 'in', 'Metropolis,', 'embarks', 'on', 'a', 'journey', 'to', 'reconcile', 'his', 'Kryptonian', 'heritage', 'with', 'his', 'human', 'upbringing', 'as', 'Clark', 'Kent.']","['Science Fiction', 'Adventure', 'Action']","['journalist', 'hero', 'superhero', 'nerd', 'villain', 'based on comic', 'alien', 'alter ego', 'dog', 'super power', 'aftercreditsstinger', 'duringcreditsstinger', 'supervillain', 'satirical', 'dc universe (dcu)', 'witty', 'romantic', 'cheerful', 'hopeful']","['David Corenswet', 'Rachel Brosnahan', 'Nicholas Hoult']",['James Gunn']
1151334,Eenie Meanie,"['A', 'former', 'teenage', 'getaway', 'driver', 'gets', 'dragged', 'back', 'into', 'her', 'unsavory', 'past', 'when', 'a', 'former', 'employer', 'offers', 'her', 'a', 'chance', 'to', 'save', 'the', 'life', 'of', 'her', 'chronically', 'unreliable', 'ex-boyfriend.']","['Thriller', 'Action', 'Comedy']",['anxious'],"['Samara Weaving', 'Karl Glusman', 'Andy García']",['Shawn Simmons']
575265,Mission: Impossible - The Final Reckoning,"['Ethan', 'Hunt', 'and', 'team', 'continue', 'their', 'search', 'for', 'the', 'terrifying', 'AI', 'known', 'as', 'the', 'Entity', '—', 'which', 'has', 'infiltrated', 'intelligence', 'networks', 'all', 'over', 'the', 'globe', '—', 'with', 'the', ""world's"", 'governments', 'and', 'a', 'mysterious', 'ghost', 'from', ""Hunt's"", 'past', 'on', 'their', 'trail.', 'Joined', 'by', 'new', 'allies', 'and', 'armed', 'with', 'the', 'means', 'to', 'shut', 'the', 'Entity', 'down', 'for', 'good,', 'Hunt', 'is', 'in', 'a', 'race', 'against', 'time', 'to', 'prevent', 'the', 'world', 'as', 'we', 'know', 'it', 'from', 'changing', 'forever.']","['Action', 'Adventure', 'Thriller']","['mask', 'artificial intelligence (a.i.)', 'diving', 'submarine', 'espionage', 'spy', 'nuclear missile', 'fake identity', 'secret agent', 'stunt', 'sequel', 'infiltration', 'terrorist plot', 'fictional government agency', 'misinformation', 'angry', 'government agency', 'based on tv series', 'secret government agency', '谍战、战争', 'arrogant']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames']",['Christopher McQuarrie']
1234821,Jurassic World Rebirth,"['Five', 'years', 'after', 'the', 'events', 'of', 'Jurassic', 'World', 'Dominion,', 'covert', 'operations', 'expert', 'Zora', 'Bennett', 'is', 'contracted', 'to', 'lead', 'a', 'skilled', 'team', 'on', 'a', 'top-secret', 'mission', 'to', 'secure', 'genetic', 'material', 'from', 'the', ""world's"", 'three', 'most', 'massive', 'dinosaurs.', 'When', ""Zora's"", 'operation', 'intersects', 'with', 'a', 'civilian', 'family', 'whose', 'boating', 'expedition', 'was', 'capsized,', 'they', 'all', 'find', 'themselves', 'stranded', 'on', 'an', 'island', 'where', 'they', 'come', 'face-to-face', 'with', 'a', 'sinister,', 'shocking', 'discovery', ""that's"", 'been', 'hidden', 'from', 'the', 'world', 'for', 'decades.']","['Science Fiction', 'Adventure', 'Action']","['island', 'secret mission', 'stranded', 'dinosaur', 'family', 'genetic experiment', 'skeptical']","['Scarlett Johansson', 'Mahershala Ali', 'Jonathan Bailey']",['Gareth Edwards']
1242011,Together,"['With', 'a', 'move', 'to', 'the', 'countryside', 'already', 'testing', 'the', 'limits', 'of', 'a', ""couple's"", 'relationship,', 'a', 'supernatural', 'encounter', 'begins', 'an', 'extreme', 'transformation', 'of', 'their', 'love,', 'their', 'lives,', 'and', 'their', 'flesh.']","['Horror', 'Romance']","['countryside', 'musician', 'cave', 'cult', 'woods', 'romance', 'teacher', 'church', 'couple', 'disturbed', 'supernatural horror', 'body horror', 'psychological horror', 'suspenseful', 'compassionate']","['Dave Franco', 'Alison Brie', 'Damon Herriman']",['Michael Shanks']
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"['The', 'Demon', 'Slayer', 'Corps', 'are', 'drawn', 'into', 'the', 'Infinity', 'Castle,', 'where', 'Tanjiro,', 'Nezuko,', 'and', 'the', 'Hashira', 'face', 'terrifying', 'Upper', 'Rank', 'demons', 'in', 'a', 'desperate', 'fight', 'as', 'the', 'final', 'battle', 'against', 'Muzan', 'Kibutsuji', 'begins.']","['Animation', 'Action', 'Fantasy', 'Thriller']","['supernatural', 'sequel', 'based on manga', 'demon', 'shounen', 'anime', 'brother sister relationship', 'taisho']","['Natsuki Hanae', 'Akari Kito', 'Yoshitsugu Matsuoka']",['Haruo Sotozaki']
1083433,I Know What You Did Last Summer,"['When', 'five', 'friends', 'inadvertently', 'cause', 'a', 'deadly', 'car', 'accident,', 'they', 'cover', 'up', 'their', 'involvement', 'and', 'make', 'a', 'pact', 'to', 'keep', 'it', 'a', 'secret', 'rather', 'than', 'face', 'the', 'consequences.', 'A', 'year', 'later,', 'their', 'past', 'comes', 'back', 'to', 'haunt', 'them', 'and', ""they're"", 'forced', 'to', 'confront', 'a', 'horrifying', 'truth:', 'someone', 'knows', 'what', 'they', 'did', 'last', 'summer…and', 'is', 'hell-bent', 'on', 'revenge.']","['Horror', 'Mystery', 'Thriller', 'Action', 'Adventure']","['harpoon', 'sequel', 'murder', 'serial killer', 'slasher', 'hook', 'killer', 'fourth of july', 'duringcreditsstinger', 'horror', 'holiday horror', 'teen scream']","['Madelyn Cline', 'Chase Sui Wonders', 'Jonah Hauer-King']",['Jennifer Kaytin Robinson']
1175942,The Bad Guys 2,"['The', 'now-reformed', 'Bad', 'Guys', 'are', 'trying', '(very,', 'very', 'hard)', 'to', 'be', 'good,', 'but', 'instead', 'find', 'themselves', 'hijacked', 'into', 'a', 'high-stakes,', 'globe-trotting', 'heist,', 'masterminded', 'by', 'a', 'new', 'team', 'of', 'criminals', 'they', 'never', 'saw', 'coming:', 'The', 'Bad', 'Girls.']","['Animation', 'Family', 'Comedy', 'Crime', 'Adventure']","['based on novel or book', 'snake', 'wolf', 'spider', 'villain', 'sequel', 'heist', 'anthropomorphism', 'framed for a crime']","['Sam Rockwell', 'Marc Maron', 'Awkwafina']",['Pierre Perifel']
