movie_id,title,overview,genres,keywords,cast,crew
755898,War of the Worlds,"['Will', 'Radford', 'is', 'a', 'top', 'analyst', 'for', 'Homeland', 'Security', 'who', 'tracks', 'potential', 'threats', 'through', 'a', 'mass', 'surveillance', 'program,', 'until', 'one', 'day', 'an', 'attack', 'by', 'an', 'unknown', 'entity', 'leads', 'him', 'to', 'question', 'whether', 'the', 'government', 'is', 'hiding', 'something', 'from', 'him...', 'and', 'from', 'the', 'rest', 'of', 'the', 'world.']","['Science Fiction', 'Thriller']","['government', 'attack', 'privacy', 'surveillance', 'cybersecurity', 'district', 'online privacy', 'screenlife', 'war']","['Ice Cube', 'Eva Longoria', 'Clark Gregg']",['Rich Lee']
1007734,Nobody 2,"['Former', 'assassin', 'Hutch', 'Mansell', 'takes', 'his', 'family', 'on', 'a', 'nostalgic', 'vacation', 'to', 'a', 'small-town', 'theme', 'park,', 'only', 'to', 'be', 'pulled', 'back', 'into', 'violence', 'when', 'they', 'clash', 'with', 'a', 'corrupt', 'operator,', 'a', 'crooked', 'sheriff,', 'and', 'a', 'ruthless', 'crime', 'boss.']","['Action', 'Thriller']","['assassin', 'dark comedy', 'sequel', 'revenge', 'one man army', 'family vacation', 'hard', 'hilarious', 'disdainful', 'dubious', 'inflammatory', 'russian mafia']","['Bob Odenkirk', 'Connie Nielsen', 'Sharon Stone']",['Timo Tjahjanto']
1035259,The Naked Gun,"['Only', 'one', 'man', 'has', 'the', 'particular', 'set', 'of', 'skills...', 'to', 'lead', 'Police', 'Squad', 'and', 'save', 'the', 'world:', 'Lt.', 'Frank', 'Drebin', 'Jr.']","['Action', 'Comedy', 'Crime']","['sequel', 'slapstick comedy', 'reboot', 'aftercreditsstinger', 'duringcreditsstinger', 'action comedy']","['Liam Neeson', 'Pamela Anderson', 'Paul Walter Hauser']",['Akiva Schaffer']
911430,F1,"['Racing', 'legend', 'Sonny', 'Hayes', 'is', 'coaxed', 'out', 'of', 'retirement', 'to', 'lead', 'a', 'struggling', 'Formula', '1', 'team—and', 'mentor', 'a', 'young', 'hotshot', 'driver—while', 'chasing', 'one', 'more', 'chance', 'at', 'glory.']","['Action', 'Drama']","['sport competition', 'beforecreditsstinger', 'rookie', 'come back', 'formula one (f1)', 'motorsport', 'car racing', 'absurd', 'exhilarated']","['Brad Pitt', 'Damson Idris', 'Javier Bardem']",['Joseph Kosinski']
1061474,Superman,"['Superman,', 'a', 'journalist', 'in', 'Metropolis,', 'embarks', 'on', 'a', 'journey', 'to', 'reconcile', 'his', 'Kryptonian', 'heritage', 'with', 'his', 'human', 'upbringing', 'as', 'Clark', 'Kent.']","['Science Fiction', 'Adventure', 'Action']","['journalist', 'hero', 'superhero', 'nerd', 'villain', 'based on comic', 'alien', 'alter ego', 'dog', 'super power', 'aftercreditsstinger', 'duringcreditsstinger', 'supervillain', 'angry', 'satirical', 'dc universe (dcu)', 'romantic', 'admiring']","['David Corenswet', 'Rachel Brosnahan', 'Nicholas Hoult']",['James Gunn']
1367575,A Line of Fire,"['After', 'working', 'as', 'a', 'secret', 'agent', 'in', 'the', 'FBI', 'for', 'ten', 'years,', 'Jack', ""'Cash'"", 'Conry', 'left', 'it', 'all', 'behind', 'after', 'his', 'wife', 'passed', 'in', 'order', 'to', 'dedicate', 'himself', 'to', 'his', 'two', 'daughters.', 'Despite', 'a', 'fulfilling', 'life', 'at', 'home,', 'Cash', 'misses', 'the', 'chance', 'to', 'make', 'an', 'impact', 'and', 'has', 'been', 'considering', 'a', 'return', 'to', 'the', 'force.', 'The', 'decision', 'is', 'made', 'for', 'him', 'when', 'his', 'old', 'partner’s', 'niece', 'Jamie', 'calls', 'him', 'for', 'help,', 'launching', 'Cash', 'right', 'back', 'into', 'a', 'world', 'of', 'danger,', 'corruption', 'and', 'intrigue.']","['Action', 'Thriller']",[],"['David A.R. White', 'Cuba Gooding Jr.', 'Jason Patric']",['Matt Shapira']
575265,Mission: Impossible - The Final Reckoning,"['Ethan', 'Hunt', 'and', 'team', 'continue', 'their', 'search', 'for', 'the', 'terrifying', 'AI', 'known', 'as', 'the', 'Entity', '—', 'which', 'has', 'infiltrated', 'intelligence', 'networks', 'all', 'over', 'the', 'globe', '—', 'with', 'the', ""world's"", 'governments', 'and', 'a', 'mysterious', 'ghost', 'from', ""Hunt's"", 'past', 'on', 'their', 'trail.', 'Joined', 'by', 'new', 'allies', 'and', 'armed', 'with', 'the', 'means', 'to', 'shut', 'the', 'Entity', 'down', 'for', 'good,', 'Hunt', 'is', 'in', 'a', 'race', 'against', 'time', 'to', 'prevent', 'the', 'world', 'as', 'we', 'know', 'it', 'from', 'changing', 'forever.']","['Action', 'Adventure', 'Thriller']","['mask', 'artificial intelligence (a.i.)', 'diving', 'submarine', 'espionage', 'spy', 'nuclear missile', 'fake identity', 'secret agent', 'stunt', 'sequel', 'infiltration', 'terrorist plot', 'fictional government agency', 'misinformation', 'angry', 'government agency', 'based on tv series', 'secret government agency', '谍战、战争']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames']",['Christopher McQuarrie']
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"['The', 'Demon', 'Slayer', 'Corps', 'are', 'drawn', 'into', 'the', 'Infinity', 'Castle,', 'where', 'Tanjiro,', 'Nezuko,', 'and', 'the', 'Hashira', 'face', 'terrifying', 'Upper', 'Rank', 'demons', 'in', 'a', 'desperate', 'fight', 'as', 'the', 'final', 'battle', 'against', 'Muzan', 'Kibutsuji', 'begins.']","['Animation', 'Action', 'Fantasy', 'Thriller']","['supernatural', 'sequel', 'based on manga', 'demon', 'shounen', 'anime', 'brother sister relationship', 'taisho period']","['Natsuki Hanae', 'Akari Kito', 'Yoshitsugu Matsuoka']",['Haruo Sotozaki']
13494,Red Sonja,"['A', 'young', 'girl', 'rises', 'from', 'the', 'ashes', 'of', 'tragedy', 'to', 'become', 'the', 'most', 'feared', 'warrior', 'woman', 'of', 'all', 'time:', 'the', 'She-Devil', 'with', 'a', 'Sword.']","['Adventure', 'Action', 'Fantasy']","['monster', 'swordplay', 'villainess', 'queen', 'talisman', 'based on comic', 'high fantasy', 'female warrior', 'sword and sorcery', 'epic fantasy']","['Matilda Lutz', 'Robert Sheehan', 'Wallis Day']",['MJ Bassett']
1234821,Jurassic World Rebirth,"['Five', 'years', 'after', 'the', 'events', 'of', 'Jurassic', 'World', 'Dominion,', 'covert', 'operations', 'expert', 'Zora', 'Bennett', 'is', 'contracted', 'to', 'lead', 'a', 'skilled', 'team', 'on', 'a', 'top-secret', 'mission', 'to', 'secure', 'genetic', 'material', 'from', 'the', ""world's"", 'three', 'most', 'massive', 'dinosaurs.', 'When', ""Zora's"", 'operation', 'intersects', 'with', 'a', 'civilian', 'family', 'whose', 'boating', 'expedition', 'was', 'capsized,', 'they', 'all', 'find', 'themselves', 'stranded', 'on', 'an', 'island', 'where', 'they', 'come', 'face-to-face', 'with', 'a', 'sinister,', 'shocking', 'discovery', ""that's"", 'been', 'hidden', 'from', 'the', 'world', 'for', 'decades.']","['Science Fiction', 'Adventure', 'Action']","['island', 'secret mission', 'stranded', 'dinosaur', 'family', 'genetic experiment']","['Scarlett Johansson', 'Mahershala Ali', 'Jonathan Bailey']",['Gareth Edwards']
1242011,Together,"['With', 'a', 'move', 'to', 'the', 'countryside', 'already', 'testing', 'the', 'limits', 'of', 'a', ""couple's"", 'relationship,', 'a', 'supernatural', 'encounter', 'begins', 'an', 'extreme', 'transformation', 'of', 'their', 'love,', 'their', 'lives,', 'and', 'their', 'flesh.']","['Horror', 'Romance']","['countryside', 'musician', 'cave', 'cult', 'woods', 'romance', 'teacher', 'church', 'couple', 'disturbed', 'supernatural horror', 'body horror', 'psychological horror', 'suspenseful', 'compassionate']","['Dave Franco', 'Alison Brie', 'Damon Herriman']",['Michael Shanks']
660033,How I Became a Gangster,"['The', 'action', 'of', 'the', 'film', 'begins', 'in', 'the', '1970s', '–', 'even', 'then,', 'the', 'young', 'protagonist', 'knows', 'that', 'adrenaline', 'tastes', 'better', 'than', 'powdered', 'milk.', 'Over', 'time,', 'he', 'also', 'discovers', 'a', 'desire', 'for', 'money,', 'power,', 'and', 'being', 'above', 'the', 'law.', 'A', 'transformation', 'begins,', 'and', 'his', 'gangster', 'talent', 'blossoms.', 'Together', 'with', 'a', 'friend,', 'they', 'build', 'their', 'own', 'army.']","['Crime', 'Action']",['polish mafia'],"['Marcin Kowalczyk', 'Tomasz Włosok', 'Natalia Szroeder']",['Maciej Kawulski']
1151334,Eenie Meanie,"['A', 'former', 'teenage', 'getaway', 'driver', 'gets', 'dragged', 'back', 'into', 'her', 'unsavory', 'past', 'when', 'a', 'former', 'employer', 'offers', 'her', 'a', 'chance', 'to', 'save', 'the', 'life', 'of', 'her', 'chronically', 'unreliable', 'ex-boyfriend.']","['Thriller', 'Action', 'Comedy']",['anxious'],"['Samara Weaving', 'Karl Glusman', 'Andy García']",['Shawn Simmons']
1038392,The Conjuring: Last Rites,"['Paranormal', 'investigators', 'Ed', 'and', 'Lorraine', 'Warren', 'take', 'on', 'one', 'last', 'terrifying', 'case', 'involving', 'mysterious', 'entities', 'they', 'must', 'confront.']",['Horror'],"['pennsylvania, usa', 'supernatural', 'haunted house', 'sequel', 'spirit', 'paranormal investigation', 'ghost', '1980s', 'demonic', 'mirror', 'supernatural horror', 'horror', 'the conjuring universe']","['Vera Farmiga', 'Patrick Wilson', 'Mia Tomlinson']",['Michael Chaves']
1083433,I Know What You Did Last Summer,"['When', 'five', 'friends', 'inadvertently', 'cause', 'a', 'deadly', 'car', 'accident,', 'they', 'cover', 'up', 'their', 'involvement', 'and', 'make', 'a', 'pact', 'to', 'keep', 'it', 'a', 'secret', 'rather', 'than', 'face', 'the', 'consequences.', 'A', 'year', 'later,', 'their', 'past', 'comes', 'back', 'to', 'haunt', 'them', 'and', ""they're"", 'forced', 'to', 'confront', 'a', 'horrifying', 'truth:', 'someone', 'knows', 'what', 'they', 'did', 'last', 'summer…and', 'is', 'hell-bent', 'on', 'revenge.']","['Horror', 'Mystery', 'Thriller', 'Action', 'Adventure']","['harpoon', 'sequel', 'murder', 'serial killer', 'slasher', 'hook', 'killer', 'fourth of july', 'duringcreditsstinger', 'hopeless', 'lighthearted', 'horror', 'holiday horror', 'foreboding', 'teen scream']","['Madelyn Cline', 'Chase Sui Wonders', 'Jonah Hauer-King']",['Jennifer Kaytin Robinson']
1175942,The Bad Guys 2,"['The', 'now-reformed', 'Bad', 'Guys', 'are', 'trying', '(very,', 'very', 'hard)', 'to', 'be', 'good,', 'but', 'instead', 'find', 'themselves', 'hijacked', 'into', 'a', 'high-stakes,', 'globe-trotting', 'heist,', 'masterminded', 'by', 'a', 'new', 'team', 'of', 'criminals', 'they', 'never', 'saw', 'coming:', 'The', 'Bad', 'Girls.']","['Animation', 'Family', 'Comedy', 'Crime', 'Adventure']","['based on novel or book', 'snake', 'wolf', 'spider', 'villain', 'sequel', 'heist', 'anthropomorphism', 'framed for a crime']","['Sam Rockwell', 'Marc Maron', 'Awkwafina']",['Pierre Perifel']
1087192,How to Train Your Dragon,"['On', 'the', 'rugged', 'isle', 'of', 'Berk,', 'where', 'Vikings', 'and', 'dragons', 'have', 'been', 'bitter', 'enemies', 'for', 'generations,', 'Hiccup', 'stands', 'apart,', 'defying', 'centuries', 'of', 'tradition', 'when', 'he', 'befriends', 'Toothless,', 'a', 'feared', 'Night', 'Fury', 'dragon.', 'Their', 'unlikely', 'bond', 'reveals', 'the', 'true', 'nature', 'of', 'dragons,', 'challenging', 'the', 'very', 'foundations', 'of', 'Viking', 'society.']","['Fantasy', 'Family', 'Action', 'Adventure']","['flying', 'vikings (norsemen)', 'remake', 'dragon', 'battle', 'warrior', 'live action remake', 'based on young adult novel']","['Mason Thames', 'Nico Parker', 'Gerard Butler']",['Dean DeBlois']
803796,KPop Demon Hunters,"['When', 'K-pop', 'superstars', 'Rumi,', 'Mira', 'and', 'Zoey', ""aren't"", 'selling', 'out', 'stadiums,', ""they're"", 'using', 'their', 'secret', 'powers', 'to', 'protect', 'their', 'fans', 'from', 'supernatural', 'threats.']","['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Music']","['double life', 'loyalty', 'supernatural', 'musical', 'female friendship', 'female protagonist', 'demon', 'self-doubt', 'girl power', 'duringcreditsstinger', 'demon hunter', 'girl group', 'boy band', 'calm', 'fandom', 'reflective', 'k-pop', 'action comedy', 'found family', '3d animation', 'half demon', 'save the world', 'self-redemption', 'supernatural comedy', 'admiring', 'awestruck', 'comforting', 'excited', 'k-pop group', 'trio']","['Arden Cho', 'May Hong', 'Ji-young Yoo']","['Chris Appelhans', 'Maggie Kang']"
1382406,Striking Rescue,"['A', 'veteran', 'Muay', 'Thai', 'expert', 'goes', 'on', 'a', 'take-no-prisoners', 'mission', 'of', 'revenge', 'after', 'his', 'wife', 'and', 'daughter', 'are', 'brutally', 'murdered', 'by', 'mysterious', 'forces.']","['Action', 'Crime', 'Thriller']",['revenge'],"['Tony Jaa', 'Eason Hung', 'Xing Yu']",['Cheng Siyi']
1024592,God's Not Dead: In God We Trust,"['In', 'a', 'time', 'of', 'profound', 'political,', 'civil,', 'and', 'spiritual', 'turmoil,', 'Reverend', 'David', 'Hill', 'grapples', 'with', 'the', 'crucial', 'question:', 'Does', 'God', 'still', 'have', 'a', 'place', 'in', 'politics?', 'Compelled', 'to', 'enter', 'a', 'congressional', 'race', 'after', 'the', 'sudden', 'death', 'of', 'a', 'favored', 'incumbent,', 'David', 'faces', 'off', 'against', 'state', 'senator', 'Peter', 'Kane,', 'a', 'formidable', 'opponent', 'determined', 'to', 'push', 'religion', 'out', 'of', 'the', 'public', 'square', 'and', 'cause', 'greater', 'divide.']",['Drama'],"['senate', 'sequel', 'evangelical christianity', 'belief in god', 'christian propaganda', 'religious propaganda', 'christian faith', 'independent film', 'political propaganda']","['David A.R. White', 'Isaiah Washington', 'Ray Wise']",['Vance Null']
70196,The Veteran,"['Soldier', 'Robert', 'Miller', 'returns', 'home', 'from', 'Afghanistan', 'unable', 'to', 'fit', 'back', 'into', 'society.', 'Living', 'on', 'a', 'violent', 'council', 'estate', 'and', 'finding', 'work', 'in', 'undercover', 'surveillance,', 'he', 'becomes', 'obsessed', 'with', 'taking', 'down', 'a', 'group', 'of', 'local', 'gangsters', 'who', 'are', 'intrinsically', 'tied', 'to', 'a', 'suspected', 'terrorist', 'cell.', 'Taking', 'the', 'situation', 'into', 'his', 'own', 'hands,', 'Robert', 'embarks', 'on', 'a', 'brutal', 'quest', 'for', 'justice,', 'with', 'devastating', 'consequences.']","['Action', 'Crime', 'Thriller']","['drug dealer', 'london, england', 'post-traumatic stress disorder (ptsd)', 'undercover', 'war veteran', 'secret agent', 'arms dealer', 'afghanistan war (2001-2021)', 'revenge', 'murder', 'betrayal', 'conspiracy', 'gang', 'shootout', 'terrorism', 'informant', 'surveillance', 'ex soldier', 'bomb making']","['Toby Kebbell', 'Adi Bielski', 'Brian Cox']",['Matthew Hope']
